Decimal,Mode,Description,Alpha Tag,Hex,Category,Tag,Priority,Preferred NAC
1003,D,Portland Police Dispatch,Portland PDD,3eb,Law Dispatch,Police,2,
1005,D,Portland Police Dispatch Ch 2,Portland PDD2,3ed,Law Dispatch,Police,2,
1007,D,Portland Police Channel 3(Details),Portland PDTac3,3ef,Law Tac,Police,2,
1027,DE,Portland PD Encrypted,PortlandPDEnc,403,Law Talk,Police,2,
1037,D,Portland Fire Dispatch,Fire Dispatch,40d,Fire Dispatch,Fire,1,
1041,D,OPS 2,Fire Ops 2,411,Fire-Tac,Fire,1,
1043,D,OPS 3,Fire Ops 3,413,Fire-Tac,Fire,1,
1045,D,OPS 4,Fire Ops 4,415,Fire-Tac,Fire,1,
1047,D,OPS 5,Fire Ops 5,417,Fire-Tac,Fire,1,
1049,D,OPS 6,Fire Ops 6,419,Fire-Tac,Fire,1,
1051,D,OPS 7,Fire Ops 7,41b,Fire-Tac,Fire,1,
1053,D,OPS 8,Fire Ops 8,41d,Fire-Tac,Fire,1,
1055,D,OPS 9,Fire Ops 9,41f,Fire-Tac,Fire,1,
1057,D,OPS 10,Fire Ops 10,421,Fire-Tac,Fire,1,
1059,D,South Portland Fire Dispatch,SoPo Fire Disp,423,Fire Dispatch,Fire,1,
1063,D,EMS TO HOSPITAL,EMS to Hospital,427,Hospital,Fire,1,
1105,D,DPW Ch 1,DPW Ch 1,451,Public Works,Public Works,-1,
1107,D,Trash/Recycling,Trash/Recycle,453,Public Works,Public Works,-1,
1117,D,Portland City Hall,Portland CH,45d,Public Works,Miscellaneous,-1,
1121,D,DPW/Trades,DPW/Trades,461,Public Works,Public Works,-1,
1123,D,DPW Water Resources,DPW Water,463,Public Works,Public Works,-1,
1125,D,DPW Forestry,DPW Forestry Div,465,Public Works,Public Works,-1,
1131,D,Barron Center admin/maintenance ,Barron Center,46b,Public Works,Miscellaneous,-1,
1135,D,Airport Ops,Airport Ops,46f,Public Works,Jetport(KPWM),-1,
1139,D,Jetport PD,Jetport PD,473,Law Dispatch,Jetport(KPWM),-1,
1143,D,Portland Fire Department Inspections,Portland Inspect,477,Fire-Tac,Fire,-1,
1145,D,Parking Division,Parking DIv,479,Public Works,Public Works,-1,
1147,D,Parking Garage Ops,Parking Garage,47b,Public Works,Public Works,-1,
1189,D,South Portland Schools Emergency Buttons,SoPoSchoolsEmerg,4a5,Schools,Schools,-1,
1195,D,South Portland Police Dispatch,So. Portland PDD,4ab,Law Dispatch,Police,-1,
1197,D,South Portland Police Channel 2,SoPo PD 2,4ad,Law Tac,Police,-1,
1199,D,South Portland Police Channel 3,SoPo PD 3,4af,Law Tac,Police,-1,
1243,D,South Portland Buses,SoPo Buses,4db,Transportation,Miscellaneous,-1,
1245,D,Citywide,Citywide,4dd,Public Works,Miscellaneous,-1,
1263,D,Airport Facilities Maintenance,AirportMaint,4ef,Public Works,Jetport(KPWM),-1,
1265,D,KPWM Maint Ops,KPWM Maint Ops,4f1,Public Works,Jetport(KPWM),-1,
1267,D,PORTLAND FD ELECTRICAL DIVISION,Fire Elec,4f3,Fire-Tac,Fire,-1,
1273,D,Buses,School Buses,4f9,Schools,Schools,-1,
1279,D,South Portland High School Admin,SoPo HS Admin,4ff,Schools,Schools,-1,
1281,D,South Portland High School Custodial,SoPoHSCustodial,501,Schools,Schools,-1,
1283,D,South Portland Brown Elem. Admin,SoPoBrownElemAD,503,Schools,Schools,-1,
1285,D,South Portland Brown Elem. Custodial,SoPoBrownElemCUS,505,Schools,Schools,-1,
1287,D,South Portland Dyer Elem. Admin,SoPoDyerElemAd,507,Schools,Schools,-1,
1289,D,South Portland Dyer Elem. Custodial,SoPoDyerElemCust,509,Schools,Schools,-1,
1291,D,South Portland Kaler Elem. Admin,SoPoKalerElemAd,50b,Schools,Schools,-1,
1293,D,South Portland Kaler Elem. Custodial,SoPoKalerEmCust,50d,Schools,Schools,-1,
1295,D,South Portland Mahoney Middle School Admin,SoPoMahoneyMSAD,50f,Schools,Schools,-1,
1297,D,South Portland Mahoney Middle School Custodial,SoPoMahoneyMSCus,511,Schools,Schools,-1,
1299,D,South Portland Memorial Middle School Admin,SoPoMemorialMSAd,513,Schools,Schools,-1,
1303,D,South Portland Skillin Elem. Admin,SoPoSkillinEmAd,517,Schools,Schools,-1,
1307,D,South Portland Small Elem. Admin,SoPoSmallElemAd,51b,Schools,Schools,-1,
1309,D,South Portland Small Elem. Custodial,SoPoSmallElemCus,51d,Schools,Schools,-1,
