Decimal,Mode,Description,Alpha Tag,Hex,Category,Tag,Priority,Preferred NAC
3,D,Radio & Range Testing 1,TECH-1,3,Radio Technicians,Public Works,,
4,D,Radio & Range Testing 2,TECH-4,4,Radio Technicians,Public Works,,
100,D,Emergency Button Channel (Can sometimes be encrypted),Emergency,64,System Wide,Law Talk,,
101,D,Special Details,SpecialUse 1,65,Zone 1- Augusta RCC South,Law Talk,,
102,D,Special Details,SpecialUse 2,66,Zone 1- Augusta RCC South,Law Talk,,
103,D,Special Use,SpecialUse 3,67,Zone 1- Augusta RCC South,Law Talk,,
110,D,Zone 2A Solar Channel,A Solar,06e,Zone 2- Augusta RCC North,Law Talk,,
111,D,Special Details,COMZ2A,06f,Zone 2- Augusta RCC North,Law Talk,,
112,D,Special Details,Special Deta,70,Zone 2- Augusta RCC North,Law Talk,,
113,D,Special Details,SpecialUse3,71,Zone 2- Augusta RCC North,Law Talk,,
134,D,Statewide System Management 1,Syscom-1,86,System Wide,Law Tac,,
135,D,Statewide System Management 2,Syscom-2,87,System Wide,Law Tac,,
136,D,Statewide System Management 3,Syscom-3,88,System Wide,Law Talk,,
511,D,Department of Public Safety Car to Car 1 (Multi-Agency Use),DPS CC 1,1ff,System Wide,Law Talk,,
512,D,Department of Public Safety Car to Car 2 (Multi-Agency Use)  ,DPS CC 2,200,System Wide,Law Talk,,
655,De,K9 Talk-Around,K9,28f,System Wide,Law Talk,,
661,D,Criminal Justice Academy ,MCJA 1,295,Criminal Justice Academy ,Law Talk,,
662,D,Criminal Justice Academy Training,MCJA 2,296,Criminal Justice Academy ,Law Talk,,
711,D,Zone 1 Primary Augusta RCC South,Zone 1A,2c7,Zone 1- Augusta RCC South,Law Dispatch,,
712,D,Zone 1 Alternate Augsuta RCC South,Zone 1B,2c8,Zone 1- Augusta RCC South,Law Dispatch,,
713,DE,Troop A Talk Around,Troop A,2c9,Zone 1- Augusta RCC South,Law Talk,,
714,DE,Troop B Talk Around,Troop B,2ca,Zone 1- Augusta RCC South,Law Talk,,
715,D,Troop G-Pike Dispatch,Troop G,2cb,Zone 1- Augusta RCC South,Law Dispatch,,
716,DE,Zone 1 Talk Around,Zone 1 Talk,2cc,Zone 1- Augusta RCC South,Law Talk,,
721,D,Zone 2 Primary Augusta RCC North,Zone 2A,2d1,Zone 2- Augusta RCC North,Law Dispatch,,
722,D,Zone 2 Alternate Augusta RCC North,Zone 2B,2d2,Zone 2- Augusta RCC North,Law Dispatch,,
723,DE,Troop C Talk Around,Troop C Talk,2d3,Zone 2- Augusta RCC North,Law Talk,,
724,DE,Troop D Talk Around,Troop D Talk,2d4,Zone 2- Augusta RCC North,Law Talk,,
726,DE,Troop K Talkaround,Troop K Talk,2d6,Zone 2- Augusta RCC North,Law Talk,,
731,D,Zone 3 Primary Bangor RCC,Zone 3A,2db,Zone 3 - Bangor RCC,Law Dispatch,,
